Account Number,Date,Description,Amount
500015,24/02/2017,Asset Management,58
500015,24/04/2017,Asset Management,112
500015,24/07/2018,Customer Service,942
500015,24/11/2017,Accounting,91
500015,24/08/2017,Sales and Marketing,428
500015,24/09/2017,Customer Relations,245
500015,24/03/2018,Finances,595
500015,24/03/2018,Accounting,109
500015,24/03/2018,Public Relations,437
500015,24/09/2017,Finances,665
500015,24/09/2017,Advertising,542
500015,24/01/2018,Quality Assurance,710
500015,24/05/2018,Tech Support,659
500015,24/03/2018,Asset Management,33
500015,24/03/2017,Customer Relations,53
500015,24/07/2018,Sales and Marketing,234
500015,24/11/2017,Customer Relations,390
500015,25/12/2017,Customer Relations,407
500015,25/02/2018,Media Relations,731
500015,25/01/2017,Tech Support,445
500015,25/02/2017,Payroll,690
500015,25/02/2017,Human Resources,997
500015,25/06/2018,Advertising,875
500015,25/07/2018,Public Relations,87
500015,25/02/2017,Payroll,540
500015,25/03/2017,Asset Management,925
500015,25/06/2017,Legal Department,357
500015,25/04/2018,Legal Department,737
500015,25/01/2018,Media Relations,69
500015,25/05/2018,Legal Department,539
500015,25/06/2017,Research and Development,460
500015,25/06/2017,Quality Assurance,289
500015,25/01/2018,Legal Department,390
500015,25/08/2017,Tech Support,47
500015,25/01/2018,Research and Development,332
500015,25/06/2018,Legal Department,330
500015,25/01/2018,Human Resources,717
500015,25/08/2017,Finances,368
500015,25/09/2017,Advertising,849
500015,25/10/2017,Asset Management,162
500015,25/02/2018,Accounting,357
500015,25/03/2018,Media Relations,326
500015,25/03/2018,Payroll,707
500015,25/12/2017,Public Relations,826
500015,25/03/2018,Media Relations,882
500015,25/03/2018,Media Relations,634
500015,25/01/2018,Advertising,213
500015,25/03/2018,Tech Support,361
500015,25/07/2018,Quality Assurance,376
500015,25/11/2017,Human Resources,144
500015,25/05/2018,Human Resources,347
500015,26/05/2018,Sales and Marketing,688
500015,26/04/2018,Finances,644
500015,26/12/2017,Legal Department,696
500015,26/05/2018,Advertising,97
500015,26/02/2018,Customer Service,822
500015,26/04/2018,Human Resources,577
500015,26/04/2018,Asset Management,680
500015,26/06/2018,Accounting,378
500015,26/10/2017,Public Relations,710
500015,26/04/2017,Customer Service,855
500015,26/05/2018,Tech Support,472
500015,26/03/2018,Public Relations,912
500015,26/06/2018,Finances,687
500015,26/09/2017,Research and Development,221
500015,26/06/2017,Human Resources,293
500015,26/02/2018,Tech Support,512
500015,26/10/2017,Advertising,120
500015,26/07/2017,Quality Assurance,607
500015,26/12/2017,Media Relations,361
500015,26/02/2018,Asset Management,527
500015,26/11/2017,Advertising,195
500015,26/03/2018,Public Relations,228
500015,26/02/2018,Customer Service,838
500015,26/12/2017,Finances,259
500015,26/03/2018,Human Resources,895
500015,26/08/2017,Tech Support,278
500015,26/03/2018,Media Relations,42
500015,26/01/2017,Public Relations,970
500015,26/07/2018,Tech Support,338
500015,26/02/2018,Customer Service,398
500015,26/04/2017,Sales and Marketing,186
500015,26/10/2017,Legal Department,596
500015,26/02/2017,Tech Support,982
500015,26/12/2017,Asset Management,110
500015,26/09/2017,Customer Service,993
500015,26/05/2018,Sales and Marketing,902
500015,27/07/2018,Payroll,733
500015,27/04/2017,Tech Support,810
500015,27/05/2018,Media Relations,205
500015,27/07/2017,Sales and Marketing,248
500015,27/12/2017,Tech Support,90
500015,27/03/2017,Customer Relations,255
500015,27/11/2017,Human Resources,552
500015,27/03/2018,Legal Department,590
500015,27/10/2017,Research and Development,12
500015,27/10/2017,Media Relations,81
500015,27/07/2017,Customer Relations,20
500015,27/01/2017,Accounting,382
500015,27/05/2018,Accounting,881
500015,27/03/2018,Human Resources,398
500015,27/01/2017,Payroll,310
500015,27/02/2018,Sales and Marketing,469
500015,27/02/2017,Media Relations,147
500015,27/05/2018,Accounting,32
500015,27/02/2017,Advertising,672
500015,27/01/2017,Asset Management,436
500015,27/06/2018,Sales and Marketing,100
500015,27/10/2017,Asset Management,567
500015,27/03/2018,Finances,626
500015,27/11/2017,Human Resources,86
500015,27/03/2018,Human Resources,820
500015,27/03/2018,Quality Assurance,65
500015,27/05/2017,Sales and Marketing,120
500015,27/07/2017,Customer Service,329
500015,27/05/2017,Customer Service,539
500015,27/11/2017,Payroll,944
500015,27/06/2018,Tech Support,43
500015,27/04/2017,Media Relations,887
500015,28/07/2017,Media Relations,874
500015,28/10/2017,Accounting,513
500015,28/10/2017,Payroll,407
500015,28/02/2017,Customer Relations,40
500015,28/04/2018,Accounting,239
500015,28/09/2017,Asset Management,299
500015,28/08/2017,Sales and Marketing,154
500015,28/03/2017,Advertising,37
500015,28/07/2017,Media Relations,261
500015,28/06/2018,Asset Management,931
500015,28/02/2018,Public Relations,956
500015,28/10/2017,Customer Service,753
500015,28/11/2017,Legal Department,804
500015,28/06/2018,Tech Support,898
500015,28/01/2018,Quality Assurance,676
500015,28/05/2017,Research and Development,659
500015,28/06/2018,Customer Service,974
500015,28/12/2017,Tech Support,783
500015,28/03/2018,Customer Relations,499
500015,28/10/2017,Customer Relations,360
500015,28/04/2018,Advertising,358
500015,28/04/2017,Public Relations,151
500015,28/04/2017,Customer Relations,635
500015,28/02/2018,Public Relations,965
500015,28/04/2017,Finances,677
500015,28/03/2017,Finances,410
500015,28/07/2018,Sales and Marketing,39
500015,28/03/2017,Legal Department,349
500015,28/03/2018,Tech Support,475
500015,28/10/2017,Research and Development,412
500015,29/08/2017,Public Relations,853
500015,29/03/2018,Advertising,412
500015,29/03/2018,Payroll,982
500015,29/06/2017,Accounting,580
500015,29/03/2018,Human Resources,942
500015,29/04/2018,Finances,933
500015,29/01/2018,Public Relations,364
500015,29/05/2018,Customer Relations,735
500015,29/03/2018,Asset Management,958
500015,29/03/2018,Advertising,503
500015,29/06/2017,Legal Department,138
500015,29/12/2017,Accounting,404
500015,29/01/2018,Public Relations,587
500015,29/06/2018,Tech Support,826
500015,29/12/2017,Asset Management,281
500015,29/10/2017,Media Relations,979
500015,29/05/2017,Advertising,852
500015,29/07/2018,Accounting,378
500015,29/05/2017,Research and Development,858
500015,29/01/2018,Asset Management,549
500015,29/07/2017,Finances,172
500015,29/07/2018,Customer Relations,238
500015,29/07/2017,Customer Service,92
500015,29/08/2017,Customer Service,227
500015,29/11/2017,Payroll,758
500015,29/03/2018,Quality Assurance,211
500015,29/05/2017,Media Relations,216
500015,29/07/2018,Accounting,581
500015,29/08/2017,Quality Assurance,278
500015,29/07/2017,Research and Development,653
500015,29/05/2018,Advertising,874
500015,29/12/2017,Legal Department,135
500015,29/07/2018,Customer Relations,556
500015,29/01/2018,Finances,975
500015,29/03/2018,Asset Management,616
500015,29/05/2018,Human Resources,691
500015,30/07/2017,Sales and Marketing,591
500015,30/07/2017,Media Relations,479
500015,30/10/2017,Media Relations,748
500015,30/03/2017,Media Relations,696
500015,30/07/2018,Accounting,226
500015,30/03/2018,Finances,679
500015,30/04/2017,Finances,55
500015,30/03/2017,Advertising,926
500015,30/12/2017,Asset Management,39
500015,30/07/2018,Legal Department,750
500015,30/03/2017,Payroll,144
500015,30/05/2017,Public Relations,4
500015,30/12/2017,Accounting,652
500015,30/05/2018,Customer Service,694
500015,30/03/2017,Payroll,809
500015,30/04/2018,Sales and Marketing,86
500015,30/08/2017,Human Resources,69
500015,30/09/2017,Finances,795
500015,30/03/2017,Research and Development,166
500015,30/04/2017,Sales and Marketing,285
500015,30/04/2018,Human Resources,928
500015,30/06/2017,Customer Relations,935
500015,30/01/2017,Sales and Marketing,641
500015,30/07/2017,Media Relations,970
500015,30/07/2017,Payroll,595
500015,30/06/2018,Legal Department,289
500015,30/05/2018,Asset Management,915
500015,30/03/2017,Advertising,685
500015,31/08/2017,Research and Development,378
500015,31/08/2017,Payroll,962
500015,31/10/2017,Sales and Marketing,415
500015,31/03/2018,Accounting,253
500015,31/03/2017,Human Resources,868
500015,31/03/2017,Customer Relations,808
500015,31/05/2018,Media Relations,218
500015,31/05/2018,Public Relations,977
500015,31/01/2018,Advertising,319
500015,31/05/2017,Tech Support,661
500015,31/03/2017,Advertising,407
500015,31/12/2017,Tech Support,264
500015,31/03/2018,Public Relations,19
500015,31/07/2017,Customer Relations,272
